MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			9+1rostarthyst			Time:	51.821148	Sec
Time	Torsional Torque	Torsional Rotation
Sec	in-kip	deg
32.142963	5.692275	11.885482
32.152958	5.7857914	12.077941
32.162952	5.8840175	12.250924
32.172947	5.9654236	12.409016
32.182941	6.0347204	12.525866
32.192936	6.0952706	12.628969
32.20293	6.1571665	12.712597
32.212925	6.1874418	12.780187
32.222919	6.1988788	12.808826
32.232914	6.1706219	12.806535
32.242908	5.8584518	12.803099
32.252903	5.7804093	12.765294
32.262897	5.740715	12.694267
32.272892	5.6855474	12.60262
32.282887	5.618269	12.482333
32.292881	5.5442634	12.340281
32.302876	5.4662209	12.175316
32.31287	5.3619399	11.993167
32.322865	5.2596774	11.781233
32.332859	5.1399226	11.541805
32.342854	5.0073843	11.289776
32.352848	4.8627367	11.021708
32.362843	4.7140522	10.691778
32.372837	4.53442	10.354976
32.382832	4.3534417	9.9941149
32.392826	4.1717911	9.610343
32.402821	3.9726484	9.2151146
32.412815	3.7573588	8.8038483
32.42281	3.54476	8.3673792
32.432804	3.3321612	7.9332013
32.442799	3.1081254	7.4818392
32.452793	2.8881264	7.0419331
32.462788	2.6721637	6.5871344
32.472782	2.4521646	6.1231709
32.482777	2.2314928	5.6844106
32.492771	2.0074568	5.2181559
32.502766	1.7867848	4.7748132
32.51276	1.5782228	4.3303251
32.522755	1.357551	3.865216
32.532749	1.1570623	3.4253099
32.542744	0.97204769	3.0174804
32.552738	0.79914308	2.6096509
32.562733	0.62825692	2.2270243
32.572727	0.49302804	1.8398153
32.582722	0.36363932	1.461771
32.592716	0.28598222	1.11924
32.602711	0.20967573	0.76868993
32.612705	0.13404448	0.45594427
32.6227	3.0051528e-002	0.17412947
32.632694	-7.3941424e-002	-9.7277746e-002
32.642689	-0.39672476	-0.3398999
32.652683	-0.53110528	-0.55391097
32.662678	-0.59255564	-0.7496109
32.672672	-0.6337477	-0.93844414
32.682667	-0.65670717	-1.095233
32.692661	-0.69047105	-1.2211219
32.702656	-0.71072942	-1.3195441
32.71265	-0.72085863	-1.4076662
32.722645	-0.72761142	-1.4442885
32.732639	-0.724235	-1.4683218
32.742634	-0.63847464	-1.4694662
32.752628	-0.45817512	-1.453444
32.762623	-0.42373592	-1.4110996
32.772617	-0.36903831	-1.3264108
32.782612	-0.33054742	-1.2131108
