2024 New Worksheet            $Create a New Worksheet
2002 New Labbook              $Create a New Labbook
2015 Open Worksheet           $Load a Worksheet
2033 Open Series              $Load a Series into a Window
3228 Multiple Windows         $Load Dataset into Multiple Windows
3229 One Window               $Load Dataset into One Window
3337 One Window with Colors   $Load Dataset into One Window with Colors
2001 Open Labbook             $Open a Labbook
2117 Open External Worksheet  $Open a DWK Worksheet Document

2016 Save Worksheet           $Save the Current Worksheet
2017 Save Worksheet As        $Save Worksheet with a New Name
2034 Save Series As           $Save Series with a New Name
2116 Save DWK As              $Save External Worksheet with New Name

2021 Copy Worksheet           $Copy a Worksheet to a New Labbook or Worksheet
2029 Copy Series              $Copy a Series to a New Labbook
2026 Copy Dataset             $Copy a Dataset to a New Labbook
2002 Copy Labbook             $Copy a Labbook to a New Directory

2020 Delete Worksheet         $Delete a Worksheet from the Current Labbook
2030 Delete Series            $Delete a Series from the Current Labbook
2027 Delete Dataset           $Delete a Dataset from the Current Labbook
2004 Delete Labbook           $Delete a Labbook from the Current Directory

2007 Print Setup              $Change Printer Settings
2092 Preview Window           $Preview Window Hardcopy
2093 Preview Worksheet        $Preview Worksheet Hardcopy
2094 Preview All Windows      $Preview Each Window
2036 Print Window             $Print Window
2022 Print Worksheet          $Print Worksheet
2091 Print All Windows        $Print Each Window

2138 Send Worksheet           $Send Worksheet via Email
2005 Change Directory         $Search for Labbooks in Different Directory

2011 Edit Formula             $Edit Window Formula
2104 Edit Window              $Edit Window Data in Table

3131 Acorr                    $Auto Correlation
3333 Acov                     $Auto Covariance
3133 Conv                     $Convolution
3332 Covm                     $Covariance Matrix
3357 Deconv                   $Deconvolution in the Time or Frequency Domain
3132 Xcorr                    $Cross Correlation
3331 Xcov                     $Cross Covariance

3249 Multireadb               $Read Interlaced Binary Data
3011 Reada                    $Read ASCII Table
3013 Readb                    $Read Binary Data
3016 Writeb                   $Write Binary Data
3014 Writet                   $Write ASCII Table


3059 Clip               $Set Outliers to Threshold
3258 Col                $Extract a Single Column
3053 Concat             $Append Series
3259 Cut                $Extract Displayed Contents of a Window
3058 Decimate           $Keep Every Nth Point
3062 Delete             $Delete Points Based on Condition
3052 Extract            $Extract a Portion of a Series
3057 Interp             $Linear Interpolate a Series
3054 Merge              $Multiplex Series
3321 Quantize           $Quantize Series to N Levels
3060 Remove by Factor   $Delete Every Nth Point
3340 Remove by Index    $Delete Based on Index Series
3339 Replace            $Replace Points Based on Condition
3055 Replicate          $Repeat Series
3056 Reverse            $Reverse Series Right to Left
3257 Row                $Extract a Single Row
3061 SetNAvalue         $Replace NA Values
3315 Spline             $Cubic Spline Interpolation
3314 Unmerge            $Demultiplex Series
3338 Xyinterp           $Linearly Interpolate Irregularly Spaced Data


3356 Betai              $Incomplete Beta Function
3121 Erf                $Error Function
3122 Erfc               $Complementary Error Function
3123 Gamm               $Gamma Function, Generalized Factorial
3352 Gammln             $Log of Gamma Function
3350 Erfinv             $Inverse Error Function
3351 Erfcinv            $Inverse Complementary Error Function
3119 Jn                 $Jn Bessel Function
